company,deal,stage,owner,bdr,amount,submitted,pipeline,created,updated,id
,(unnamed),Submission Received,Unassigned,Unassigned,,no,unset,2026-09-22,2026-09-22 18:31,32c8ea10-d79d-4968-a9fb-c582b83e7dc1
,(unnamed),Submission Received,Unassigned,Unassigned,,no,ES_CARRIER,2026-09-22,2026-09-22 18:14,8d99f613-47e9-4715-b4c6-2be50afb1a5b
,(unnamed),Submission Received,Unassigned,Unassigned,,no,ES_CARRIER,2026-09-22,2026-09-22 18:14,a8d43b79-583a-4e7b-b70b-63d7781c8ad6
,(unnamed),Submission Received,Unassigned,Unassigned,,no,unset,2026-09-22,2026-09-22 18:14,eb516cf5-c73c-42d5-b82c-926bf1f4cb9f
,BHC Insurance - New Deal,Submission Received,Ayush Chavan,Ayush Chavan,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,e74be48b-e359-4c15-ac8a-8fce9cece103
,Blue Mountain Insurance - New Deal,Submission Received,Harry Palmer,Harry Palmer,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,7d717831-dd2a-47e7-b798-d2fb7abda576
,Blue Mountain Insurance - New E+S New Deal,Submission Received,Harry Palmer,Joshua Byrne,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,bc033112-d257-41f2-8fb9-c4e2e499887b
,"Callarman Insurance Agency, LLC - New Deal",Submission Received,Dinesh  Sharma,Joshua Byrne,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,edf0b6bc-169e-4fbb-9ff4-e6040ac9764f
,E+S New Deal,Submission Received,Harry Palmer,Joshua Byrne,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,2f206c12-b607-4177-8908-beb02315da2d
,Fry Integra Insurance Services - New E&S Deal,Submission Received,Dinesh  Sharma,Joshua Byrne,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,0e692011-2ae3-4965-88da-49e11bc6d5ce
,Get More Insurance Services Inc - New E&S Deal,Submission Received,Harry Palmer,Joshua Byrne,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,d413d6c8-5ce2-40f0-aee0-ad594c6f41e4
,"Givesurance Insurance Services, Inc. - E&S New Deal",Submission Received,Dinesh  Sharma,Joshua Byrne,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,34597a95-971f-4382-a04c-7d6ed522c3f1
,"HOWDEN INSURANCE SERVICES, INC. - New E+S Deal",Submission Received,Dinesh  Sharma,Joshua Byrne,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,98053045-fe59-4491-be84-fe80123c98b4
,Hubbard Insurance Agency - New Deal,Submission Received,Dinesh  Sharma,Joshua Byrne,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,1b266d76-fa35-4fcb-a7a5-c41f55c727fb
,"Mace Insurance Agency, Inc. - New E+S Deal",Submission Received,Harry Palmer,Joshua Byrne,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,75af2f66-3d2e-4cd6-908e-59967e6347ba
,Peoples Underwriters - New E+S Deal,Submission Received,Harry Palmer,Joshua Byrne,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,0e5c7a6f-160e-4da2-bb90-6ef134338e11
,Strategic Insurance Advisors - E&S New Deal,Submission Received,Malik Djotni,Ayush Chavan,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,2f348fea-b330-4e11-94f0-5dc1d2958c03
5 Star Insurance Professionals,5 Star Insurance Professionals - E&S New Deal,Submission Received,Zarret Mills,Zarret Mills,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,bd008bdd-0e1d-43ca-8758-51497c14221e
Alim Insurance Brokerage,Alim Insurance Brokerage - E&S New Deal,Submission Received,Malik Djotni,Malik Djotni,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,cf89b659-dd58-49fc-ae61-2596435fccae
Aqua Tree Insurance,Aqua Tree Insurance - New Deal,Submission Received,Kristian Fraser,Kristian Fraser,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,81e834e3-bd03-4e9c-b293-a12f13a1c550
"Arroyo Insurance Services, Inc.","Arroyo Insurance Services, Inc. - New Deal",Submission Received,Kristian Fraser,Kristian Fraser,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,4216648b-4fb2-4de8-8b27-d09301b7e5e5
ASAP Insurance Agency,ASAP Insurance Agency - E&S New Deal,Submission Received,Harry Palmer,Zarret Mills,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,c15a36fe-9379-47f8-83a4-c207edf99a74
Astro Insurance Agency,Astro Insurance Agency - New Deal,Submission Received,Ayush Chavan,Ayush Chavan,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,83ee89ce-79d3-4bd4-8030-a30c7b0b561b
Ball Group Inc,Ball Group Inc - New E+S Deal,Submission Received,Harry Palmer,Joshua Byrne,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,95222332-9b95-476d-81b2-3e2bc303f9a0
Ballardagency,"THE BALLARD AGENCY, INC. - New Deal",Submission Received,Malik Djotni,Malik Djotni,,no,ES_CARRIER,2026-09-21,2026-09-22 18:14,93cbd92a-e47a-4271-97e8-2c7d5f38e654
Benefield & Tabb Insurance Agency,Benefield & Tabb Insurance Agency - New Deal,Submission Received,Kristian Fraser,Kristian Fraser,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,4366ca9e-da9a-454a-a833-a48fb0b22122
BH Gold Insurance Agency,BH Gold Insurance Agency - New E+S Deal,Submission Received,Harry Palmer,Joshua Byrne,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,d2973a6f-f24c-4684-b9b9-325fb5aa171f
BHC Insurance,BHC Insurance - New Deal,Submission Received,Ayush Chavan,Ayush Chavan,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,c954b534-b2fa-49fa-9de2-c2543a4575dd
Blue Mountain Insurance Inc,Blue Mountain Insurance - New E+S Deal,Submission Received,Harry Palmer,Joshua Byrne,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,4322c2f5-f5ec-4f48-bf2d-a335ec3deae6
Brad Smith Agency (Farmers Insurance),Brad Smith Agency (Farmers Insurance) - E+S New Deal,Submission Received,Dinesh  Sharma,Joshua Byrne,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,f484f3f0-32da-4b27-9994-7b8f9d267b7c
Broner Financial Services LLC,Broner Financial Services LLC - New Deal,Submission Received,Ayush Chavan,Ayush Chavan,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,a7bbf4c5-540f-46dd-83ef-7865c80d4563
BUILDERS & CONTRACTORS INS SVC,BUILDERS & CONTRACTORS INS SVC - E&S New Deal,Submission Received,Zarret Mills,Zarret Mills,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,8e3386f3-8a0d-4901-b646-49b8482f582f
Business Owner's Insurance Agency,E&S Business Owner's Insurance Agency - New Deal,Submission Received,Ayush Chavan,Allie K,,no,ES_CARRIER,2026-09-14,2026-09-22 18:14,a18a23d3-9359-4e1d-820e-581ec97f06a4
